tcp,cbr rate,t1_throughput,t1_drop_rate,t1_latency,t2_throughput,t2_drop_rate,t2_latency
Newreno Reno,10mb,0.2144096,0.0880792359392,0.109678724981,0.1832928,0.070826306914,0.11100034755
Newreno Reno,10mb,0.221648,0.0707810320781,0.110942052908,0.1857056,0.0874540253371,0.110006179579
Newreno Reno,10mb,0.1956896,0.0812182741117,0.110777843604,0.1852896,0.0835047305636,0.110179926391
Newreno Reno,10mb,0.1955232,0.091225357557,0.109609230115,0.1669024,0.073834794647,0.110749994519
Newreno Reno,10mb,0.2196512,0.0839403399237,0.109592946232,0.1681504,0.0783956244303,0.110854647873
Newreno Reno,10mb,0.2176544,0.0752650176678,0.110925290409,0.1820448,0.0935817805383,0.109798427136
Vegas Vegas,1mb,5.5208,0.0,0.0352842308941,3.44624,0.0,0.0352616286271
Vegas Vegas,1mb,4.58824,0.0,0.0356429525046,4.344,0.0,0.0356541727072
Vegas Vegas,1mb,5.70736,0.0,0.0354653760197,3.32136,0.0,0.0353773522653
Vegas Vegas,1mb,5.58456,0.0,0.0355053226754,3.39192,0.0,0.0354564785018
Vegas Vegas,1mb,5.3048,0.0,0.0355369316393,3.63448,0.0,0.0355215854152
Vegas Vegas,1mb,5.30136,0.0,0.0356692677049,3.63376,0.0,0.0356591924618
Vegas Vegas,1mb,4.54776,0.0,0.0357439369184,4.39176,0.0,0.0357335973368
Vegas Vegas,1mb,3.6144,0.0,0.0354676274015,5.35592,0.0,0.0355071956863
Vegas Vegas,1mb,3.56048,0.0,0.0354277944547,5.39296,0.0,0.0354433423723
Vegas Vegas,1mb,3.51088,0.0,0.035562007246,5.45104,0.0,0.0355937253515
Vegas Vegas,2mb,3.62224,0.0,0.0358884832369,4.33128,0.0,0.035893406254
Vegas Vegas,2mb,3.87128,0.0,0.0359994164204,4.08304,0.0,0.0360177374309
Vegas Vegas,2mb,4.24064,0.0,0.0359585196951,3.7192,0.0,0.035943672123
Vegas Vegas,2mb,4.49672,0.0,0.0358597885392,3.47104,0.0,0.0358375024661
Vegas Vegas,2mb,4.0172,0.0,0.0363322982177,3.93512,0.0,0.036315419789
Vegas Vegas,2mb,4.56824,0.0,0.0358705474493,3.4396,0.0,0.0358231074078
Vegas Vegas,2mb,4.33328,0.0,0.0359264096666,3.61608,0.0,0.0359264523572
Vegas Vegas,2mb,4.39488,0.0,0.0360593511541,3.56888,0.0,0.0360578706373
Vegas Vegas,2mb,3.42928,0.0,0.0358202861708,4.5944,0.0,0.0358786862267
Vegas Vegas,2mb,4.71464,0.0,0.0359746964349,3.4196,0.0,0.0358232827933
Vegas Vegas,3mb,3.45384,0.0,0.0369220752322,3.52632,0.0,0.0369567414642
Vegas Vegas,3mb,3.9772,0.0,0.0366746296892,3.13072,0.0,0.0365792518782
Vegas Vegas,3mb,3.38296,0.0,0.0365868938444,3.60648,0.0,0.0366019097624
Vegas Vegas,3mb,3.53328,0.0,0.0370999858036,3.43328,0.0,0.0370873217914
Vegas Vegas,3mb,3.33544,0.0,0.036763245221,3.66016,0.0,0.0367677265475
Vegas Vegas,3mb,3.698,0.0,0.0368985630936,3.28192,0.0,0.0369018463826
Vegas Vegas,3mb,3.66632,0.0,0.0368129631456,3.43808,0.0,0.0366893461932
Vegas Vegas,3mb,3.17312,0.0,0.0363402840611,3.93552,0.0,0.0364627428955
Vegas Vegas,3mb,3.5696,0.0,0.037003178104,3.39304,0.0,0.0370176046495
Vegas Vegas,3mb,3.13272,0.0,0.0367180356751,3.89752,0.0,0.0367462230547
Vegas Vegas,4mb,2.8624,0.0,0.0373343677753,3.15984,0.0,0.0374067608993
Vegas Vegas,4mb,3.0364,0.0,0.0377750826769,3.12928,0.0,0.0378270747776
Vegas Vegas,4mb,2.79344,0.0,0.0376140730855,3.20416,0.0,0.037641491511
Vegas Vegas,4mb,2.88288,0.0,0.037575234127,3.14552,0.0,0.0376108920624
Vegas Vegas,4mb,2.74624,0.0,0.0375296356619,3.2556,0.0,0.0375310354343
Vegas Vegas,4mb,3.1668,0.0,0.0374671197676,2.824,0.0,0.0374782020113
Vegas Vegas,4mb,3.234,0.0,0.0377314633519,2.79152,0.0,0.0376610229839
Vegas Vegas,4mb,2.73392,0.0,0.0372881023293,3.37352,0.0,0.0373125598425
Vegas Vegas,4mb,2.9488,0.0,0.0376833471243,3.11464,0.0,0.037761895744
Vegas Vegas,4mb,3.2392,0.0,0.037394145221,2.81328,0.0,0.0373372409145
Vegas Vegas,5mb,2.43928,0.0,0.0388628271621,2.53488,0.0,0.0388712060532
Vegas Vegas,5mb,2.53576,0.0,0.0386790500994,2.45728,0.0,0.038666093339
Vegas Vegas,5mb,2.46224,0.0,0.039921861492,2.63576,0.0,0.0398878435973
Vegas Vegas,5mb,2.44336,0.0,0.0389522181586,2.54264,0.0,0.0389479362238
Vegas Vegas,5mb,2.44576,0.0,0.0388432258276,2.54544,0.0,0.0388570282545
Vegas Vegas,5mb,2.67936,0.0,0.0388123621462,2.44984,0.0,0.0386990354962
Vegas Vegas,5mb,2.68024,0.0,0.0388231482852,2.45744,0.0,0.0387397010548
Vegas Vegas,5mb,2.44928,0.0,0.039005347498,2.5968,0.0,0.0390554949784
Vegas Vegas,5mb,2.63248,0.0,0.0387347059199,2.416,0.0,0.0386996634437
Vegas Vegas,5mb,2.32344,0.0,0.0386106304445,2.67032,0.0,0.0386239802571
Vegas Vegas,6mb,1.78432,0.0,0.0396097908895,2.24592,0.0,0.0396971803448
Vegas Vegas,6mb,1.98552,0.0,0.0403657321407,2.00696,0.0,0.0404029133814
Vegas Vegas,6mb,2.13504,0.0,0.0401902743555,1.87352,0.0,0.0401906721465
Vegas Vegas,6mb,1.9912,0.0,0.0406688419446,2.01488,0.0,0.0407095699992
Vegas Vegas,6mb,2.03928,0.0,0.041297257228,2.01792,0.0,0.0412860836505
Vegas Vegas,6mb,1.91,0.0,0.0417243826597,2.22504,0.0,0.0417323182684
Vegas Vegas,6mb,1.87408,0.0,0.0402607721762,2.13792,0.0,0.0402859599611
Vegas Vegas,6mb,1.97128,0.0,0.0402871614788,2.01752,0.0,0.0403060556723
